ISO3,Country,Vulnerability_2023
IND,India,0.48459732132666
ZAF,South Africa,0.394647749939191
CHN,China,0.381528008944177
JPN,Japan,0.368956663778576
NLD,Netherlands,0.353879572190633
DNK,Denmark,0.347435104310872
AUS,Australia,0.31593723845745
USA,United States,0.312019243435194
FRA,France,0.304166282673451
DEU,Germany,0.301488835582132
GBR,United Kingdom,0.288055598949617
CAN,Canada,0.281583885412555
FIN,Finland,0.280200400598793
NOR,Norway,0.2556147185431
CHE,Switzerland,0.251258452297331
